measurement_date,reporting_period,company_name,facility_id,country,city,product_name,cn_code,cbam_sector,destination_country,production_tonnes,export_to_germany_tonnes,EAF carbon steel,Natural gas,Gas/Diesel oil,Electricity,CaO,Graphite electrodes,production_meter_id,gas_meter_id,electricity_meter_id,fuel_log_reference,data_quality_flag,operator_note
2025-01-01,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,64.18,0.00,66.99,2389,158,43.25,0.599,0.109,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-001,measured,
2025-01-02,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,54.88,0.00,56.91,1921,129,36.33,0.521,0.088,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-002,measured,
2025-01-03,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,58.66,31.34,63.05,2145,142,37.62,0.502,0.092,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-003,measured,
2025-01-04,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,42.74,0.00,41.32,1614,103,26.70,0.362,0.065,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-004,measured,
2025-01-05,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,28.52,0.00,28.63,978,67,17.79,0.250,0.044,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-005,measured,reduced production / maintenance shift
2025-01-06,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,64.74,0.00,64.50,2215,157,42.33,0.594,0.100,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-006,measured,
2025-01-07,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,68.00,65.31,72.08,2324,158,45.14,0.645,0.105,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-007,measured,
2025-01-08,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,55.81,0.00,54.99,2015,137,35.99,0.495,0.084,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-008,measured,
2025-01-09,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,60.88,0.00,59.55,2124,137,39.76,0.561,0.098,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-009,measured,
2025-01-10,2025-Q1,Anadolu Steel Export A.S.,TR-HAT-STEEL-001,Turkey,"Iskenderun, Hatay",Steel rebar,72142000,iron_steel,Germany,54.95,49.39,55.48,1996,138,34.39,0.469,0.086,PROD-SCALE-RBM-01,NG-MTR-RHF-02,EL-MTR-RM-01,DIESEL-LOG-2025Q1-010,measured,
