country,cn_code,description,product_group,year,default_direct_tco2e_per_ton,default_indirect_tco2e_per_ton,default_total_tco2e_per_ton,adopted_default_total_tco2e_per_ton,underlying_cbam_benchmark_route,has_country_value
Türkiye,25070080,Calcined clay,Cement,2026,,,,,,false
Türkiye,25070080,Calcined clay,Cement,2027,,,,,,false
Türkiye,25070080,Calcined clay,Cement,2028,,,,,,false
Türkiye,25231000,White clinker,Cement,2026,,,,,,false
Türkiye,25231000,White clinker,Cement,2027,,,,,,false
Türkiye,25231000,White clinker,Cement,2028,,,,,,false
Türkiye,25231000,Grey clinker,Cement,2026,,,,,,false
Türkiye,25231000,Grey clinker,Cement,2027,,,,,,false
Türkiye,25231000,Grey clinker,Cement,2028,,,,,,false
Türkiye,25232100,White Portland cement,Cement,2026,,,,,,false
Türkiye,25232100,White Portland cement,Cement,2027,,,,,,false
Türkiye,25232100,White Portland cement,Cement,2028,,,,,,false
Türkiye,25232900,Grey Portland cement,Cement,2026,,,,,,false
Türkiye,25232900,Grey Portland cement,Cement,2027,,,,,,false
Türkiye,25232900,Grey Portland cement,Cement,2028,,,,,,false
Türkiye,25239000,White hydraulic cements,Cement,2026,,,,,,false
Türkiye,25239000,White hydraulic cements,Cement,2027,,,,,,false
Türkiye,25239000,White hydraulic cements,Cement,2028,,,,,,false
Türkiye,25239000,Grey hydraulic cements,Cement,2026,,,,,,false
Türkiye,25239000,Grey hydraulic cements,Cement,2027,,,,,,false
Türkiye,25239000,Grey hydraulic cements,Cement,2028,,,,,,false
Türkiye,25233000,Aluminous cement,Cement,2026,1.82,0.14,1.95,2.145,,true
Türkiye,25233000,Aluminous cement,Cement,2027,1.82,0.14,1.95,2.34,,true
Türkiye,25233000,Aluminous cement,Cement,2028,1.82,0.14,1.95,2.535,,true
Türkiye,28080000,Nitric acid; sulphonitric acids,Fertilisers,2026,2.68,0.03,2.72,2.7472,,true
Türkiye,28080000,Nitric acid; sulphonitric acids,Fertilisers,2027,2.68,0.03,2.72,2.7472,,true
Türkiye,28080000,Nitric acid; sulphonitric acids,Fertilisers,2028,2.68,0.03,2.72,2.7472,,true
Türkiye,28141000,Anhydrous ammonia,Fertilisers,2026,2.17,0.1,2.27,2.2927,,true
Türkiye,28141000,Anhydrous ammonia,Fertilisers,2027,2.17,0.1,2.27,2.2927,,true
Türkiye,28141000,Anhydrous ammonia,Fertilisers,2028,2.17,0.1,2.27,2.2927,,true
Türkiye,28142000,Ammonia in aqueous solution,Fertilisers,2026,0.65,0.03,0.68,0.6868,,true
Türkiye,28142000,Ammonia in aqueous solution,Fertilisers,2027,0.65,0.03,0.68,0.6868,,true
Türkiye,28142000,Ammonia in aqueous solution,Fertilisers,2028,0.65,0.03,0.68,0.6868,,true
Türkiye,28342100,Nitrate of potassium,Fertilisers,2026,2.17,0.05,2.22,2.2422,,true
Türkiye,28342100,Nitrate of potassium,Fertilisers,2027,2.17,0.05,2.22,2.2422,,true
Türkiye,28342100,Nitrate of potassium,Fertilisers,2028,2.17,0.05,2.22,2.2422,,true
Türkiye,3102,"Mineral or chemical fertilizers, nitrogenous",Fertilisers,2026,,,,,,false
Türkiye,3102,"Mineral or chemical fertilizers, nitrogenous",Fertilisers,2027,,,,,,false
Türkiye,3102,"Mineral or chemical fertilizers, nitrogenous",Fertilisers,2028,,,,,,false
Türkiye,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",Fertilisers,2026,0.48,0.02,0.5,0.505,,true
Türkiye,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",Fertilisers,2027,0.48,0.02,0.5,0.505,,true
Türkiye,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",Fertilisers,2028,0.48,0.02,0.5,0.505,,true
Türkiye,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",Fertilisers,2026,0.79,0.02,0.82,0.8282,,true
Türkiye,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",Fertilisers,2027,0.79,0.02,0.82,0.8282,,true
Türkiye,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",Fertilisers,2028,0.79,0.02,0.82,0.8282,,true
Türkiye,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",Fertilisers,2026,1.44,0.08,1.51,1.5251,,true
Türkiye,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",Fertilisers,2027,1.44,0.08,1.51,1.5251,,true
Türkiye,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",Fertilisers,2028,1.44,0.08,1.51,1.5251,,true
Türkiye,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",Fertilisers,2026,1.4,0.08,1.48,1.4948,,true
Türkiye,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",Fertilisers,2027,1.4,0.08,1.48,1.4948,,true
Türkiye,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",Fertilisers,2028,1.4,0.08,1.48,1.4948,,true
Türkiye,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2026,0.63,0.06,0.68,0.6868,,true
Türkiye,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2027,0.63,0.06,0.68,0.6868,,true
Türkiye,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2028,0.63,0.06,0.68,0.6868,,true
Türkiye,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,Fertilisers,2026,1.4,0.06,1.46,1.4746,,true
Türkiye,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,Fertilisers,2027,1.4,0.06,1.46,1.4746,,true
Türkiye,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,Fertilisers,2028,1.4,0.06,1.46,1.4746,,true
Türkiye,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),Fertilisers,2026,1.64,0.05,1.69,1.7069,,true
Türkiye,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),Fertilisers,2027,1.64,0.05,1.69,1.7069,,true
Türkiye,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),Fertilisers,2028,1.64,0.05,1.69,1.7069,,true
Türkiye,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2026,2.53,0.07,2.6,2.626,,true
Türkiye,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2027,2.53,0.07,2.6,2.626,,true
Türkiye,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2028,2.53,0.07,2.6,2.626,,true
Türkiye,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2026,2.16,0.07,2.23,2.2523,,true
Türkiye,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2027,2.16,0.07,2.23,2.2523,,true
Türkiye,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2028,2.16,0.07,2.23,2.2523,,true
Türkiye,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2026,2.16,0.07,2.23,2.2523,,true
Türkiye,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2027,2.16,0.07,2.23,2.2523,,true
Türkiye,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2028,2.16,0.07,2.23,2.2523,,true
Türkiye,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2026,4.19,0.05,4.24,4.2824,,true
Türkiye,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2027,4.19,0.05,4.24,4.2824,,true
Türkiye,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2028,4.19,0.05,4.24,4.2824,,true
Türkiye,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2026,2.12,0.06,2.18,2.2018,,true
Türkiye,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2027,2.12,0.06,2.18,2.2018,,true
Türkiye,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2028,2.12,0.06,2.18,2.2018,,true
Türkiye,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),Fertilisers,2026,1.58,0.06,1.64,1.6564,,true
Türkiye,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),Fertilisers,2027,1.58,0.06,1.64,1.6564,,true
Türkiye,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),Fertilisers,2028,1.58,0.06,1.64,1.6564,,true
Türkiye,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),Fertilisers,2026,1.62,0.07,1.69,1.7069,,true
Türkiye,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),Fertilisers,2027,1.62,0.07,1.69,1.7069,,true
Türkiye,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),Fertilisers,2028,1.62,0.07,1.69,1.7069,,true
Türkiye,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",Fertilisers,2026,,,,,,false
Türkiye,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",Fertilisers,2027,,,,,,false
Türkiye,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",Fertilisers,2028,,,,,,false
Türkiye,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",Fertilisers,2026,0.8,0.06,0.86,0.8686,,true
Türkiye,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",Fertilisers,2027,0.8,0.06,0.86,0.8686,,true
Türkiye,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",Fertilisers,2028,0.8,0.06,0.86,0.8686,,true
Türkiye,31052010,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",Fertilisers,2026,1.06,0.06,1.12,1.1312,,true
