cn_code,description,product_group,default_direct_tco2e_per_ton,default_indirect_tco2e_per_ton,default_total_tco2e_per_ton
26011200,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Sintered Ore,0.31,0.05,0.36
7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Pig iron,1.90,0.17,2.07
7202,Ferro-manganese,FeMn,1.44,2.08,3.51
7202,Ferro-chromium,FeCr,,3.38,5.45
7202,Ferro-nickel,FeNi,,2.81,6.26
7203,Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products,DRI,4.81,0.00,4.81
72061000,Ingots,Iron and steel,2.52,0.23,2.75
72069000,Other,Iron and steel,1.97,0.23,2.20
72071980,Other,Iron and steel,1.89,0.32,2.21
72071919,Forged,Iron and steel,2.65,0.62,3.27
72072019,Forged,Iron and steel,2.65,0.62,3.27
7205,"Granules and powders, of pig iron, spiegeleisen, iron or steel (if not covered under category pig iron)",Iron or steel products,1.90,0.17,2.07
7209,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated",Iron and steel,2.03,0.36,2.39
7210,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated",Iron and steel,1.97,0.39,2.35
72111300,"Rolled on four faces or in a closed box pass, of a width exceeding 150 mmand a thickness of not less than 4 mm, not in coils and without patterns",Iron and steel,2.01,0.27,2.28
72112372,"0,25 %of carbon Other",Iron and steel,2.03,0.36,2.39
7212,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated",Iron and steel,1.97,0.39,2.35
7213,"Bars and rods, hot-rolled, in irregularly wound coils of iron or non-alloy steel",Iron and steel,1.89,0.32,2.21
72141000,Forged,Iron and steel,2.65,0.62,3.27
72143000,"Other, of free-cutting steel Of rectangular (other than square) cross-section",Iron and steel,1.89,0.32,2.21
721491,"Other, of free-cutting steel Of rectangular (other than square) cross-section",Iron and steel,1.89,0.32,2.21
7215,Other bars and rods of iron or non-alloy steel,Iron and steel,1.89,0.32,2.21
7216,"Angles, shapes and sections of iron or non-alloy steel",Iron and steel,1.89,0.32,2.21
721710,"Not plated or coated, whether or not polished",Iron and steel,1.88,0.49,2.37
721730,Plated or coated with other base metals,Iron and steel,1.95,0.51,2.46
721921,Of a thickness exceeding 10mm,Iron and steel,2.18,1.90,4.08
721933,Of a thickness exceeding 1 mm but less than 3mm,Iron and steel,2.21,1.99,4.19
722020,Not further worked than cold- rolled (cold-reduced),Iron and steel,2.21,1.99,4.19
7221,"Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel",Iron and steel,2.14,2.17,4.30
722220,"Bars and rods, not further worked than cold-formed or",Iron and steel,2.14,2.17,4.30
722230,Other bars and rods,Iron and steel,2.51,2.10,4.61
722300,Wire of stainless steel,Iron and steel,2.13,2.36,4.49
722530,"Other, not further worked than hot-rolled, in coils",Iron and steel,1.95,0.40,2.35
722550,"Other, not further worked than cold-rolled (cold-reduced)",Iron and steel,1.98,0.49,2.46
72259200,Otherwise plated or coated with zinc,Iron and steel,1.92,0.51,2.43
72262000,Of high-speed steel,Iron and steel,1.95,0.40,2.35
72269200,Not further worked than cold- rolled (cold-reduced),Iron and steel,1.98,0.49,2.46
722699,Other,Iron and steel,1.92,0.51,2.43
7227,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel",Iron and steel,1.86,0.57,2.43
722840,"Other bars and rods, not further worked than forged",Iron and steel,2.41,0.79,3.20
7229,Wire of other alloy steel,Iron and steel,1.84,0.75,2.59
7301,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel",Iron and steel,2.03,0.36,2.39
